# opusid, pds_location, start_time, obs_name
co-vims-v1516018634_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018634_1.qub, 2006-01-15T11:47:44.655, VIMS_020TI_SOLAROCC002
co-vims-v1516018641_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018641_1.qub, 2006-01-15T11:47:51.930, VIMS_020TI_SOLAROCC002
co-vims-v1516018649_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018649_1.qub, 2006-01-15T11:47:59.209, VIMS_020TI_SOLAROCC002
co-vims-v1516018656_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018656_1.qub, 2006-01-15T11:48:06.511, VIMS_020TI_SOLAROCC002
co-vims-v1516018663_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018663_1.qub, 2006-01-15T11:48:13.787, VIMS_020TI_SOLAROCC002
co-vims-v1516018671_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018671_1.qub, 2006-01-15T11:48:21.065, VIMS_020TI_SOLAROCC002
co-vims-v1516018678_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018678_1.qub, 2006-01-15T11:48:28.344, VIMS_020TI_SOLAROCC002
co-vims-v1516018685_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018685_1.qub, 2006-01-15T11:48:35.642, VIMS_020TI_SOLAROCC002
co-vims-v1516018692_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018692_1.qub, 2006-01-15T11:48:42.924, VIMS_020TI_SOLAROCC002
co-vims-v1516018700_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018700_1.qub, 2006-01-15T11:48:50.200, VIMS_020TI_SOLAROCC002
co-vims-v1516018707_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018707_1.qub, 2006-01-15T11:48:57.502, VIMS_020TI_SOLAROCC002
co-vims-v1516018714_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018714_1.qub, 2006-01-15T11:49:04.777, VIMS_020TI_SOLAROCC002
co-vims-v1516018721_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018721_1.qub, 2006-01-15T11:49:12.057, VIMS_020TI_SOLAROCC002
co-vims-v1516018729_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018729_1.qub, 2006-01-15T11:49:19.336, VIMS_020TI_SOLAROCC002
co-vims-v1516018736_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018736_1.qub, 2006-01-15T11:49:26.634, VIMS_020TI_SOLAROCC002
co-vims-v1516018743_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018743_1.qub, 2006-01-15T11:49:33.913, VIMS_020TI_SOLAROCC002
co-vims-v1516018751_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018751_1.qub, 2006-01-15T11:49:41.191, VIMS_020TI_SOLAROCC002
co-vims-v1516018758_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018758_1.qub, 2006-01-15T11:49:48.494, VIMS_020TI_SOLAROCC002
co-vims-v1516018765_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018765_1.qub, 2006-01-15T11:49:55.769, VIMS_020TI_SOLAROCC002
co-vims-v1516018772_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018772_1.qub, 2006-01-15T11:50:03.048, VIMS_020TI_SOLAROCC002
co-vims-v1516018780_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018780_1.qub, 2006-01-15T11:50:10.326, VIMS_020TI_SOLAROCC002
co-vims-v1516018787_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018787_1.qub, 2006-01-15T11:50:17.629, VIMS_020TI_SOLAROCC002
co-vims-v1516018794_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018794_1.qub, 2006-01-15T11:50:24.907, VIMS_020TI_SOLAROCC002
co-vims-v1516018802_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018802_1.qub, 2006-01-15T11:50:32.183, VIMS_020TI_SOLAROCC002
co-vims-v1516018809_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018809_1.qub, 2006-01-15T11:50:39.485, VIMS_020TI_SOLAROCC002
co-vims-v1516018816_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018816_1.qub, 2006-01-15T11:50:46.763, VIMS_020TI_SOLAROCC002
co-vims-v1516018823_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018823_1.qub, 2006-01-15T11:50:54.039, VIMS_020TI_SOLAROCC002
co-vims-v1516018831_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018831_1.qub, 2006-01-15T11:51:01.338, VIMS_020TI_SOLAROCC002
co-vims-v1516018838_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018838_1.qub, 2006-01-15T11:51:08.617, VIMS_020TI_SOLAROCC002
co-vims-v1516018845_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018845_1.qub, 2006-01-15T11:51:15.898, VIMS_020TI_SOLAROCC002
co-vims-v1516018853_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018853_1.qub, 2006-01-15T11:51:23.172, VIMS_020TI_SOLAROCC002
co-vims-v1516018860_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018860_1.qub, 2006-01-15T11:51:30.473, VIMS_020TI_SOLAROCC002
co-vims-v1516018867_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018867_1.qub, 2006-01-15T11:51:37.752, VIMS_020TI_SOLAROCC002
co-vims-v1516018874_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018874_1.qub, 2006-01-15T11:51:45.030, VIMS_020TI_SOLAROCC002
